序号,图片名称,生成提示词
1,land_star_1.png,游戏 UI 角标，1 颗金色五角星，扁平化矢量风格，深色轮廓描边，顶部偏左光源，柔和阴影，透明背景，单张游戏精灵图
2,land_star_2.png,游戏 UI 角标，2 颗金色五角星水平排列，扁平化矢量风格，深色轮廓描边，顶部偏左光源，柔和阴影，透明背景，单张游戏精灵图
3,land_star_3.png,游戏 UI 角标，3 颗金色五角星水平排列，扁平化矢量风格，深色轮廓描边，顶部偏左光源，柔和阴影，透明背景，单张游戏精灵图
4,land_star_4.png,游戏 UI 角标，4 颗金色五角星水平排列，扁平化矢量风格，深色轮廓描边，顶部偏左光源，柔和阴影，透明背景，单张游戏精灵图
5,land_star_5.png,游戏 UI 角标，5 颗金色五角星水平排列，扁平化矢量风格，深色轮廓描边，顶部偏左光源，柔和阴影，透明背景，单张游戏精灵图
6,land_upgrade_glow_1.png,游戏特效，淡金色圆形光晕，中心明亮边缘渐淡，扁平化风格，透明背景，单张游戏精灵图
7,land_upgrade_glow_2.png,游戏特效，金色圆形光晕，比上一张更亮更饱满，扁平化风格，透明背景，单张游戏精灵图
8,land_upgrade_glow_3.png,游戏特效，亮金色圆形光晕，中心有星芒效果，扁平化风格，透明背景，单张游戏精灵图
9,land_upgrade_sparkle_1.png,游戏粒子特效，四角星形闪光，白色带金色边缘，扁平化风格，透明背景，单张游戏精灵图
10,land_upgrade_sparkle_2.png,游戏粒子特效，六角星形闪光，金色带白色高光，扁平化风格，透明背景，单张游戏精灵图
11,land_upgrade_sparkle_3.png,游戏粒子特效，八角星形闪光，彩虹色渐变边缘，扁平化风格，透明背景，单张游戏精灵图
12,land_upgrade_particle_gold.png,游戏粒子，金色圆形光点，中心亮边缘淡，扁平化风格，透明背景，单张游戏精灵图
13,land_upgrade_particle_purple.png,游戏粒子，紫色圆形光点，中心亮边缘淡，扁平化风格，透明背景，单张游戏精灵图
14,land_upgrade_particle_blue.png,游戏粒子，蓝色圆形光点，中心亮边缘淡，扁平化风格，透明背景，单张游戏精灵图
15,land_upgrade_particle_green.png,游戏粒子，绿色圆形光点，中心亮边缘淡，扁平化风格，透明背景，单张游戏精灵图
16,land_upgrade_rays_1.png,游戏特效，从中心向外放射的金色光线，8 条主射线，扁平化风格，透明背景，单张游戏精灵图
17,land_upgrade_rays_2.png,游戏特效，从中心向外放射的彩虹光线，12 条主射线，扁平化风格，透明背景，单张游戏精灵图
18,farm_background.png,开心农场游戏主场景背景图，田园风光全景，前景：绿色草地和农田，有蜿蜒的小径和木栅栏，中景：几棵果树和农舍小屋，红色屋顶白色墙壁，烟囱冒着袅袅炊烟，远景：连绵的青山和蓝天白云，远处有风车和山脉轮廓，风格：扁平化矢量插画风格，色彩明亮温暖，饱和度中等偏高，色调：以草绿色、天蓝色、泥土棕色为主，点缀花朵的粉红色和黄色，构图：地平线位于画面下三分之一处，上方留白给天空，无人物，无文字，无 UI 元素，纯背景图
19,logo_256.png,"开心农场游戏 Logo，圆形构图，中心是一棵结满果实的卡通果树，树下有小屋和农田，树顶有太阳和云朵，文字 ""开心农场"" 环绕在圆形底部，字体圆润可爱，色彩鲜艳温暖，以绿色和金色为主色调，扁平化矢量风格，透明背景"
20,logo_64.png,开心农场游戏 Logo 简化版，仅保留中心果树图标，去掉文字，色彩鲜艳，扁平化矢量风格，透明背景，适合 favicon 使用
21,ui_loading_sprite.png,游戏加载动画帧，一棵小树苗从土壤中生长，帧 1：土壤中冒出小芽，画面占比 10%，帧 2：小芽长高，长出 2 片嫩叶，画面占比 20%，帧 3：茎干增粗，长出 4 片叶子，画面占比 35%，帧 4：长出更多分枝，叶子繁茂，画面占比 50%，帧 5：树冠形成，出现花苞，画面占比 65%，帧 6：花朵绽放，树冠饱满，画面占比 75%，帧 7：花朵凋谢，结出小果实，画面占比 85%，帧 8：果实成熟，树冠金光闪闪，画面占比 95%，风格：扁平化矢量风格，绿色和金色为主，深色轮廓描边，透明背景，单张游戏精灵图
22,ui_particle_gold.png,游戏粒子特效，金色圆形金币，正面平视，带高光和阴影，扁平化矢量风格，深色轮廓描边，透明背景，单张游戏精灵图
23,ui_particle_star.png,游戏粒子特效，金色五角星，正面平视，中心明亮边缘渐淡，扁平化矢量风格，透明背景，单张游戏精灵图
24,ui_particle_exp.png,游戏粒子特效，蓝色菱形经验宝石，正面平视，带高光和内部折射效果，扁平化矢量风格，透明背景，单张游戏精灵图
25,ui_avatar_frame_1.png,游戏头像框底板，简单圆形裁切区域，无装饰边框，浅灰色细线轮廓，扁平化风格，透明背景，单张游戏精灵图
26,ui_avatar_frame_5.png,游戏头像框，圆形铜色金属边框，带有铜绿锈斑纹理，边框宽度 8px，内侧有轻微内阴影，扁平化矢量风格，透明背景，单张游戏精灵图
27,ui_avatar_frame_10.png,游戏头像框，圆形银色金属边框，带有金属拉丝纹理，边框宽度 8px，内侧有高光效果，扁平化矢量风格，透明背景，单张游戏精灵图
28,ui_avatar_frame_20.png,游戏头像框，圆形金色金属边框，带有抛光镜面纹理，边框宽度 10px，四角有小钻石装饰，内侧有金色光晕，扁平化矢量风格，透明背景，单张游戏精灵图
29,ui_avatar_frame_50.png,游戏头像框，圆形钻石切割边框，淡蓝色透明质感，带有光折射效果，边框宽度 12px，四角有星芒装饰，内侧有彩虹光晕，扁平化矢量风格，透明背景，单张游戏精灵图